date,close,open,pct_change
2010-01-01,5018.76,5000.0,0.00375
2010-01-04,4963.35,5018.76,-0.01104
2010-01-05,5006.31,4963.35,0.00866
2010-01-06,5060.11,5006.31,0.01075
2010-01-07,4953.54,5060.11,-0.02106
2010-01-08,4884.56,4953.54,-0.01393
2010-01-11,4893.39,4884.56,0.00181
2010-01-12,4878.32,4893.39,-0.00308
2010-01-13,4879.37,4878.32,0.00022
2010-01-14,4835.54,4879.37,-0.00898
2010-01-15,4884.25,4835.54,0.01007
2010-01-18,4927.99,4884.25,0.00896
2010-01-19,4791.38,4927.99,-0.02772
2010-01-20,4852.7,4791.38,0.0128
2010-01-21,4879.6,4852.7,0.00554
2010-01-22,4835.43,4879.6,-0.00905
2010-01-25,4856.98,4835.43,0.00446
2010-01-26,4807.69,4856.98,-0.01015
2010-01-27,4856.07,4807.69,0.01006
2010-01-28,4855.35,4856.07,-0.00015
2010-01-29,4847.41,4855.35,-0.00164
2010-02-01,4813.05,4847.41,-0.00709
2010-02-02,4879.7,4813.05,0.01385
2010-02-03,4873.35,4879.7,-0.0013
2010-02-04,4852.34,4873.35,-0.00431
2010-02-05,4835.49,4852.34,-0.00347
2010-02-08,4865.73,4835.49,0.00625
2010-02-09,4887.24,4865.73,0.00442
2010-02-10,4911.38,4887.24,0.00494
2010-02-11,4845.77,4911.38,-0.01336
2010-02-12,4961.87,4845.77,0.02396
2010-02-15,4941.67,4961.87,-0.00407
2010-02-16,4915.8,4941.67,-0.00524
2010-02-17,4873.77,4915.8,-0.00855
2010-02-18,4908.74,4873.77,0.00718
2010-02-19,4971.66,4908.74,0.01282
2010-02-22,4967.42,4971.66,-0.00085
2010-02-23,4923.5,4967.42,-0.00884
2010-02-24,4880.82,4923.5,-0.00867
2010-02-25,4917.7,4880.82,0.00756
2010-02-26,4959.87,4917.7,0.00858
2010-03-01,4991.49,4959.87,0.00638
2010-03-02,4956.94,4991.49,-0.00692
2010-03-03,4971.59,4956.94,0.00296
2010-03-04,4979.96,4971.59,0.00168
2010-03-05,4993.93,4979.96,0.00281
2010-03-08,5043.8,4993.93,0.00999
2010-03-09,5058.22,5043.8,0.00286
2010-03-10,5098.02,5058.22,0.00787
2010-03-11,5103.85,5098.02,0.00114
2010-03-12,5114.67,5103.85,0.00212
2010-03-15,5152.23,5114.67,0.00734
2010-03-16,5071.71,5152.23,-0.01563
2010-03-17,5055.9,5071.71,-0.00312
2010-03-18,5031.77,5055.9,-0.00477
2010-03-19,4998.42,5031.77,-0.00663
2010-03-22,4985.29,4998.42,-0.00263
2010-03-23,5069.26,4985.29,0.01684
2010-03-24,4995.29,5069.26,-0.01459
2010-03-25,5050.49,4995.29,0.01105
2010-03-26,4959.02,5050.49,-0.01811
2010-03-29,4942.73,4959.02,-0.00328
2010-03-30,4953.56,4942.73,0.00219
2010-03-31,4987.48,4953.56,0.00685
2010-04-01,5028.5,4987.48,0.00822
2010-04-02,5074.39,5028.5,0.00913
2010-04-05,5056.96,5074.39,-0.00343
2010-04-06,5033.26,5056.96,-0.00469
2010-04-07,5082.78,5033.26,0.00984
2010-04-08,5074.11,5082.78,-0.00171
2010-04-09,5004.94,5074.11,-0.01363
2010-04-12,4944.55,5004.94,-0.01207
2010-04-13,4896.52,4944.55,-0.00971
2010-04-14,4925.25,4896.52,0.00587
2010-04-15,4792.38,4925.25,-0.02698
2010-04-16,4830.69,4792.38,0.00799
2010-04-19,4809.92,4830.69,-0.0043
2010-04-20,4820.23,4809.92,0.00214
2010-04-21,4855.33,4820.23,0.00728
2010-04-22,4840.75,4855.33,-0.003
2010-04-23,4867.01,4840.75,0.00542
2010-04-26,4833.52,4867.01,-0.00688
2010-04-27,4816.15,4833.52,-0.00359
2010-04-28,4703.63,4816.15,-0.02336
2010-04-29,4643.64,4703.63,-0.01275
2010-04-30,4670.37,4643.64,0.00576
2010-05-03,4648.12,4670.37,-0.00476
2010-05-04,4650.62,4648.12,0.00054
2010-05-05,4677.08,4650.62,0.00569
2010-05-06,4701.92,4677.08,0.00531
2010-05-07,4738.21,4701.92,0.00772
2010-05-10,4734.98,4738.21,-0.00068
2010-05-11,4714.82,4734.98,-0.00426
2010-05-12,4712.57,4714.82,-0.00048
2010-05-13,4626.99,4712.57,-0.01816
2010-05-14,4555.19,4626.99,-0.01552
2010-05-17,4490.73,4555.19,-0.01415
2010-05-18,4443.27,4490.73,-0.01057
2010-05-19,4464.58,4443.27,0.0048
2010-05-20,4421.9,4464.58,-0.00956
2010-05-21,4405.28,4421.9,-0.00376
2010-05-24,4470.0,4405.28,0.01469
2010-05-25,4454.27,4470.0,-0.00352
2010-05-26,4492.19,4454.27,0.00851
2010-05-27,4447.85,4492.19,-0.00987
2010-05-28,4250.83,4447.85,-0.0443
2010-05-31,4208.11,4250.83,-0.01005
2010-06-01,4194.1,4208.11,-0.00333
2010-06-02,4234.55,4194.1,0.00964
2010-06-03,4155.78,4234.55,-0.0186
2010-06-04,4177.3,4155.78,0.00518
2010-06-07,4189.9,4177.3,0.00302
2010-06-08,3978.01,4189.9,-0.05057
2010-06-09,3916.33,3978.01,-0.01551
2010-06-10,3921.0,3916.33,0.00119
2010-06-11,3899.73,3921.0,-0.00542
2010-06-14,3911.27,3899.73,0.00296
2010-06-15,3913.78,3911.27,0.00064
2010-06-16,3984.3,3913.78,0.01802
2010-06-17,3975.4,3984.3,-0.00223
2010-06-18,3932.24,3975.4,-0.01086
2010-06-21,3941.56,3932.24,0.00237
2010-06-22,3952.68,3941.56,0.00282
2010-06-23,4013.36,3952.68,0.01535
2010-06-24,4051.83,4013.36,0.00959
2010-06-25,4069.36,4051.83,0.00433
2010-06-28,4136.49,4069.36,0.0165
2010-06-29,4084.05,4136.49,-0.01268
2010-06-30,4056.94,4084.05,-0.00664
2010-07-01,4017.22,4056.94,-0.00979
2010-07-02,4001.6,4017.22,-0.00389
2010-07-05,3942.6,4001.6,-0.01474
2010-07-06,3971.72,3942.6,0.00739
2010-07-07,3963.6,3971.72,-0.00204
2010-07-08,3901.06,3963.6,-0.01578
2010-07-09,3859.04,3901.06,-0.01077
2010-07-12,3873.89,3859.04,0.00385
2010-07-13,3911.16,3873.89,0.00962
2010-07-14,3998.63,3911.16,0.02236
2010-07-15,4128.39,3998.63,0.03245
2010-07-16,4148.86,4128.39,0.00496
2010-07-19,4105.36,4148.86,-0.01048
2010-07-20,4010.72,4105.36,-0.02305
2010-07-21,4024.14,4010.72,0.00335
2010-07-22,3989.76,4024.14,-0.00854
2010-07-23,3973.13,3989.76,-0.00417
2010-07-26,3947.97,3973.13,-0.00633
2010-07-27,3943.43,3947.97,-0.00115
2010-07-28,3991.25,3943.43,0.01213
2010-07-29,3999.74,3991.25,0.00213
2010-07-30,3994.36,3999.74,-0.00135
